id,year,school_name,jibun,road,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at
479,2016,남대문중학교,서울특별시 성북구 장위동 #124번지,서울특별시 성북구 한천로95길 28,B100002266,1129013800,268.0,128.0,93.0,1.0,2.0,0.0,5.0,21.0,14.0,4.0,0.0,0.0,총합,2018-04-28 14:10:58.081239,,2018-04-28 14:10:58.081243
480,2016,남대문중학교,서울특별시 성북구 장위동 #124번지,서울특별시 성북구 한천로95길 28,B100002266,1129013800,0.0,47.8,34.7,0.4,0.7,0.0,1.9,0.0,5.2,1.5,0.0,0.0,통계,2018-04-28 14:10:58.083329,,2018-04-28 14:10:58.083334
481,2016,동구여자중학교,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,B100002267,1129010100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:10:59.238317,,2018-04-28 14:10:59.238321
482,2016,동구여자중학교,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,B100002267,1129010100,231.0,194.0,19.0,0.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:10:59.240441,,2018-04-28 14:10:59.240444
483,2016,동구여자중학교,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,B100002267,1129010100,231.0,194.0,19.0,0.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,총합,2018-04-28 14:10:59.242401,,2018-04-28 14:10:59.242405
484,2016,동구여자중학교,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,B100002267,1129010100,0.0,84.0,8.2,0.0,2.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,통계,2018-04-28 14:10:59.244315,,2018-04-28 14:10:59.244319
485,2016,북악중학교,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,B100002269,1129013300,77.0,47.0,11.0,0.0,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:11:00.410812,,2018-04-28 14:11:00.410821
486,2016,북악중학교,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,B100002269,1129013300,67.0,42.0,21.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,여,2018-04-28 14:11:00.414339,,2018-04-28 14:11:00.414346
487,2016,북악중학교,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,B100002269,1129013300,144.0,89.0,32.0,0.0,3.0,1.0,2.0,16.0,0.0,0.0,0.0,1.0,총합,2018-04-28 14:11:00.417217,,2018-04-28 14:11:00.417225
488,2016,북악중학교,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,B100002269,1129013300,0.0,61.8,22.2,0.0,2.1,0.7,1.4,0.0,0.0,0.0,0.0,0.7,통계,2018-04-28 14:11:00.419616,,2018-04-28 14:11:00.419623
489,2016,삼선중학교,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,B100002270,1129010400,236.0,115.0,23.0,0.0,7.0,1.0,1.0,60.0,23.0,5.0,0.0,1.0,남,2018-04-28 14:11:01.591501,,2018-04-28 14:11:01.591505
490,2016,삼선중학교,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,B100002270,1129010400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:11:01.594480,,2018-04-28 14:11:01.594484
491,2016,삼선중학교,서울특별시 성북구 동소문동1가  #140-1,서울특별시 성북구 동소문로3길 69,B100002270,1129010400,236.0,115.0,23.0,0.0,7.0,1.0,1.0,60.0,23.0,5.0,0.0,1.0,총합,2018-04-28 14:11:01.596473,,2018-04-28 14:11:01.596478
