id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
167,서울특별시 성북구 장위동 #124번지,서울특별시 성북구 한천로95길 28,2017,B100002266,1129013800,224.0,119.0,78.0,1.0,1.0,0.0,3.0,14.0,7.0,1.0,0.0,0.0,총합,2018-04-20 23:20:33.260909,,2018-04-20 23:20:33.260913,남대문중학교
168,서울특별시 성북구 장위동 #124번지,서울특별시 성북구 한천로95길 28,2017,B100002266,1129013800,0.0,53.1,34.8,0.4,0.4,0.0,1.3,0.0,3.1,0.4,0.0,0.0,통계,2018-04-20 23:20:33.262774,,2018-04-20 23:20:33.262778,남대문중학교
169,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,2017,B100002267,1129010100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-20 23:20:34.427825,,2018-04-20 23:20:34.427828,동구여자중학교
170,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,2017,B100002267,1129010100,174.0,142.0,11.0,0.0,6.0,2.0,0.0,11.0,1.0,1.0,0.0,0.0,여,2018-04-20 23:20:34.430485,,2018-04-20 23:20:34.430489,동구여자중학교
171,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,2017,B100002267,1129010100,174.0,142.0,11.0,0.0,6.0,2.0,0.0,11.0,1.0,1.0,0.0,0.0,총합,2018-04-20 23:20:34.432323,,2018-04-20 23:20:34.432326,동구여자중학교
172,서울특별시 성북구 성북동  #168-275번지,서울특별시 성북구 성북로8길 71,2017,B100002267,1129010100,0.0,81.6,6.3,0.0,3.4,1.1,0.0,0.0,0.6,0.6,0.0,0.0,통계,2018-04-20 23:20:34.434020,,2018-04-20 23:20:34.434024,동구여자중학교
173,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,2017,B100002269,1129013300,65.0,41.0,14.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,남,2018-04-20 23:20:35.578530,,2018-04-20 23:20:35.578534,북악중학교
174,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,2017,B100002269,1129013300,114.0,81.0,24.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,여,2018-04-20 23:20:35.581087,,2018-04-20 23:20:35.581091,북악중학교
175,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,2017,B100002269,1129013300,179.0,122.0,38.0,0.0,3.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,총합,2018-04-20 23:20:35.583012,,2018-04-20 23:20:35.583015,북악중학교
176,서울특별시 성북구 정릉동 #640-3번지,서울특별시 성북구 정릉로12길 41,2017,B100002269,1129013300,0.0,68.2,21.2,0.0,1.7,0.0,2.8,0.0,0.0,0.6,0.0,0.0,통계,2018-04-20 23:20:35.585419,,2018-04-20 23:20:35.585424,북악중학교
