id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
291,서울특별시 강북구 우이동 #103-9번지,서울특별시 강북구 삼양로155길 37-9,2017,B100002271,1130510400,130.0,42.0,29.0,0.0,0.0,0.0,1.0,39.0,18.0,1.0,0.0,0.0,총합,2018-04-21 02:20:46.245050,,2018-04-21 02:20:46.245054,서라벌중학교
292,서울특별시 강북구 우이동 #103-9번지,서울특별시 강북구 삼양로155길 37-9,2017,B100002271,1130510400,0.0,32.3,22.3,0.0,0.0,0.0,0.8,0.0,13.8,0.8,0.0,0.0,통계,2018-04-21 02:20:46.247198,,2018-04-21 02:20:46.247202,서라벌중학교
293,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,2017,B100002275,1130510100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-21 02:20:47.406386,,2018-04-21 02:20:47.406389,성암여자중학교
294,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,2017,B100002275,1130510100,230.0,136.0,79.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,여,2018-04-21 02:20:47.409533,,2018-04-21 02:20:47.409537,성암여자중학교
295,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,2017,B100002275,1130510100,230.0,136.0,79.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,총합,2018-04-21 02:20:47.411556,,2018-04-21 02:20:47.411559,성암여자중학교
296,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,2017,B100002275,1130510100,0.0,59.1,34.3,0.0,3.9,0.9,0.9,0.0,0.0,0.0,0.0,0.9,통계,2018-04-21 02:20:47.413478,,2018-04-21 02:20:47.413482,성암여자중학교
297,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,2017,B100002276,1130510200,133.0,67.0,41.0,0.0,3.0,0.0,1.0,18.0,2.0,1.0,0.0,0.0,남,2018-04-21 02:20:48.571188,,2018-04-21 02:20:48.571191,수송중학교
298,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,2017,B100002276,1130510200,65.0,44.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:48.592176,,2018-04-21 02:20:48.592181,수송중학교
299,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,2017,B100002276,1130510200,198.0,111.0,62.0,0.0,3.0,0.0,1.0,18.0,2.0,1.0,0.0,0.0,총합,2018-04-21 02:20:48.595836,,2018-04-21 02:20:48.595849,수송중학교
300,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,2017,B100002276,1130510200,0.0,56.1,31.3,0.0,1.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,통계,2018-04-21 02:20:48.598399,,2018-04-21 02:20:48.598403,수송중학교
301,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,2017,B100002277,1130510300,117.0,70.0,35.0,0.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,남,2018-04-21 02:20:49.740331,,2018-04-21 02:20:49.740334,수유중학교
302,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,2017,B100002277,1130510300,65.0,38.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:49.742791,,2018-04-21 02:20:49.742794,수유중학교
303,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,2017,B100002277,1130510300,182.0,108.0,59.0,0.0,2.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,총합,2018-04-21 02:20:49.744645,,2018-04-21 02:20:49.744649,수유중학교
304,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,2017,B100002277,1130510300,0.0,59.3,32.4,0.0,1.1,0.0,2.7,0.0,0.0,0.0,0.0,0.0,통계,2018-04-21 02:20:49.746416,,2018-04-21 02:20:49.746420,수유중학교
305,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,2017,B100002278,1130510100,163.0,61.0,51.0,3.0,0.0,0.0,4.0,42.0,2.0,0.0,0.0,0.0,남,2018-04-21 02:20:51.048688,,2018-04-21 02:20:51.048697,신일중학교
306,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,2017,B100002278,1130510100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:51.051298,,2018-04-21 02:20:51.051302,신일중학교
307,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,2017,B100002278,1130510100,163.0,61.0,51.0,3.0,0.0,0.0,4.0,42.0,2.0,0.0,0.0,0.0,총합,2018-04-21 02:20:51.053321,,2018-04-21 02:20:51.053325,신일중학교
308,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,2017,B100002278,1130510100,0.0,37.4,31.3,1.8,0.0,0.0,2.5,0.0,1.2,0.0,0.0,0.0,통계,2018-04-21 02:20:51.055291,,2018-04-21 02:20:51.055295,신일중학교
309,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,2017,B100002279,1130510100,70.0,9.0,0.0,3.0,2.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,남,2018-04-21 02:20:52.275329,,2018-04-21 02:20:52.275333,영훈국제중학교
310,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,2017,B100002279,1130510100,85.0,25.0,0.0,2.0,13.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:52.290566,,2018-04-21 02:20:52.290573,영훈국제중학교
311,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,2017,B100002279,1130510100,155.0,34.0,0.0,5.0,15.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,총합,2018-04-21 02:20:52.293848,,2018-04-21 02:20:52.293855,영훈국제중학교
312,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,2017,B100002279,1130510100,0.0,21.9,0.0,3.2,9.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,통계,2018-04-21 02:20:52.296561,,2018-04-21 02:20:52.296566,영훈국제중학교
313,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,2017,B100002282,1130510300,76.0,56.0,8.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,남,2018-04-21 02:20:53.646359,,2018-04-21 02:20:53.646364,인수중학교
314,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,2017,B100002282,1130510300,138.0,107.0,25.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:53.648991,,2018-04-21 02:20:53.648994,인수중학교
315,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,2017,B100002282,1130510300,214.0,163.0,33.0,0.0,3.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,총합,2018-04-21 02:20:53.650836,,2018-04-21 02:20:53.650840,인수중학교
316,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,2017,B100002282,1130510300,0.0,76.2,15.4,0.0,1.4,0.5,0.9,0.0,0.0,0.0,0.0,0.0,통계,2018-04-21 02:20:53.652598,,2018-04-21 02:20:53.652602,인수중학교
317,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,2017,B100002285,1130510100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-21 02:20:54.797068,,2018-04-21 02:20:54.797072,창문여자중학교
318,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,2017,B100002285,1130510100,196.0,124.0,58.0,1.0,5.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,여,2018-04-21 02:20:54.799910,,2018-04-21 02:20:54.799914,창문여자중학교
319,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,2017,B100002285,1130510100,196.0,124.0,58.0,1.0,5.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,총합,2018-04-21 02:20:54.802017,,2018-04-21 02:20:54.802020,창문여자중학교
320,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,2017,B100002285,1130510100,0.0,63.3,29.6,0.5,2.6,1.0,0.5,0.0,0.0,0.5,0.0,0.0,통계,2018-04-21 02:20:54.803920,,2018-04-21 02:20:54.803924,창문여자중학교
321,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,2017,B100002288,1130510300,94.0,45.0,40.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,남,2018-04-21 02:20:55.945573,,2018-04-21 02:20:55.945577,화계중학교
322,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,2017,B100002288,1130510300,90.0,49.0,36.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:55.948486,,2018-04-21 02:20:55.948490,화계중학교
323,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,2017,B100002288,1130510300,184.0,94.0,76.0,1.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,총합,2018-04-21 02:20:55.950455,,2018-04-21 02:20:55.950459,화계중학교
324,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,2017,B100002288,1130510300,0.0,51.1,41.3,0.5,1.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,통계,2018-04-21 02:20:55.952246,,2018-04-21 02:20:55.952249,화계중학교
