id,year,school_name,jibun,road,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at
551,2016,서라벌중학교,서울특별시 강북구 우이동 #103-9번지,서울특별시 강북구 삼양로155길 37-9,B100002271,1130510400,169.0,95.0,34.0,0.0,1.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,총합,2018-04-28 14:40:27.135186,,2018-04-28 14:40:27.135190
552,2016,서라벌중학교,서울특별시 강북구 우이동 #103-9번지,서울특별시 강북구 삼양로155길 37-9,B100002271,1130510400,0.0,56.2,20.1,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,통계,2018-04-28 14:40:27.137194,,2018-04-28 14:40:27.137198
553,2016,성암여자중학교,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,B100002275,1130510100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:40:28.308107,,2018-04-28 14:40:28.308111
554,2016,성암여자중학교,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,B100002275,1130510100,256.0,169.0,78.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,여,2018-04-28 14:40:28.310879,,2018-04-28 14:40:28.310883
555,2016,성암여자중학교,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,B100002275,1130510100,256.0,169.0,78.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,총합,2018-04-28 14:40:28.312824,,2018-04-28 14:40:28.312828
556,2016,성암여자중학교,서울특별시 강북구 미아동 #327번지,서울특별시 강북구 도봉로29길 52,B100002275,1130510100,0.0,66.0,30.5,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,통계,2018-04-28 14:40:28.314660,,2018-04-28 14:40:28.314664
557,2016,수송중학교,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,B100002276,1130510200,179.0,104.0,40.0,0.0,2.0,2.0,3.0,15.0,10.0,3.0,0.0,0.0,남,2018-04-28 14:40:29.725883,,2018-04-28 14:40:29.725887
558,2016,수송중학교,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,B100002276,1130510200,92.0,53.0,30.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,여,2018-04-28 14:40:29.728931,,2018-04-28 14:40:29.728936
559,2016,수송중학교,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,B100002276,1130510200,271.0,157.0,70.0,0.0,5.0,3.0,3.0,15.0,15.0,3.0,0.0,0.0,총합,2018-04-28 14:40:29.730931,,2018-04-28 14:40:29.730935
560,2016,수송중학교,서울특별시 강북구 번동  #456-1번지,서울특별시 강북구 한천로122길 21,B100002276,1130510200,0.0,57.9,25.8,0.0,1.8,1.1,1.1,0.0,5.5,1.1,0.0,0.0,통계,2018-04-28 14:40:29.732710,,2018-04-28 14:40:29.732714
561,2016,수유중학교,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,B100002277,1130510300,135.0,81.0,37.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,0.0,1.0,남,2018-04-28 14:40:31.042317,,2018-04-28 14:40:31.042321
562,2016,수유중학교,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,B100002277,1130510300,77.0,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:40:31.045254,,2018-04-28 14:40:31.045258
563,2016,수유중학교,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,B100002277,1130510300,212.0,131.0,64.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,0.0,1.0,총합,2018-04-28 14:40:31.047349,,2018-04-28 14:40:31.047353
564,2016,수유중학교,서울특별시 강북구 수유동 #491-61,서울특별시 강북구 인수봉로37길 40,B100002277,1130510300,0.0,61.8,30.2,0.0,0.0,0.5,1.4,0.0,0.0,0.5,0.0,0.5,통계,2018-04-28 14:40:31.049166,,2018-04-28 14:40:31.049170
565,2016,신일중학교,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,B100002278,1130510100,175.0,83.0,36.0,0.0,1.0,1.0,5.0,49.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:40:32.360441,,2018-04-28 14:40:32.360445
566,2016,신일중학교,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,B100002278,1130510100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:40:32.363374,,2018-04-28 14:40:32.363378
567,2016,신일중학교,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,B100002278,1130510100,175.0,83.0,36.0,0.0,1.0,1.0,5.0,49.0,0.0,0.0,0.0,0.0,총합,2018-04-28 14:40:32.365447,,2018-04-28 14:40:32.365452
568,2016,신일중학교,서울특별시 강북구 미아동 #193-1,서울특별시 강북구 솔매로49길 20,B100002278,1130510100,0.0,47.4,20.6,0.0,0.6,0.6,2.9,0.0,0.0,0.0,0.0,0.0,통계,2018-04-28 14:40:32.367334,,2018-04-28 14:40:32.367338
569,2016,영훈국제중학교,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,B100002279,1130510100,63.0,22.0,1.0,2.0,2.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,남,2018-04-28 14:40:33.515551,,2018-04-28 14:40:33.515555
570,2016,영훈국제중학교,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,B100002279,1130510100,90.0,42.0,0.0,3.0,9.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:40:33.518410,,2018-04-28 14:40:33.518414
571,2016,영훈국제중학교,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,B100002279,1130510100,153.0,64.0,1.0,5.0,11.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,총합,2018-04-28 14:40:33.520372,,2018-04-28 14:40:33.520376
572,2016,영훈국제중학교,서울특별시 강북구 미아동 #471-2번지,서울특별시 강북구 도봉로13가길 19,B100002279,1130510100,0.0,41.8,0.7,3.3,7.2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,통계,2018-04-28 14:40:33.522284,,2018-04-28 14:40:33.522288
573,2016,인수중학교,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,B100002282,1130510300,106.0,61.0,27.0,1.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:40:34.701943,,2018-04-28 14:40:34.701948
574,2016,인수중학교,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,B100002282,1130510300,117.0,81.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-28 14:40:34.706457,,2018-04-28 14:40:34.706461
575,2016,인수중학교,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,B100002282,1130510300,223.0,142.0,61.0,1.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,총합,2018-04-28 14:40:34.708703,,2018-04-28 14:40:34.708706
576,2016,인수중학교,서울특별시 강북구 수유동 #551번지(인수봉길 275),서울특별시 강북구 인수봉로75길 10,B100002282,1130510300,0.0,63.7,27.4,0.4,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,통계,2018-04-28 14:40:34.711028,,2018-04-28 14:40:34.711032
577,2016,창문여자중학교,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,B100002285,1130510100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남,2018-04-28 14:40:35.878953,,2018-04-28 14:40:35.878957
578,2016,창문여자중학교,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,B100002285,1130510100,206.0,133.0,65.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,여,2018-04-28 14:40:35.881657,,2018-04-28 14:40:35.881661
579,2016,창문여자중학교,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,B100002285,1130510100,206.0,133.0,65.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,총합,2018-04-28 14:40:35.883664,,2018-04-28 14:40:35.883668
580,2016,창문여자중학교,서울특별시 강북구 미아동 #8-16번지,서울특별시 강북구 월계로 61,B100002285,1130510100,0.0,64.6,31.6,0.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,통계,2018-04-28 14:40:35.885591,,2018-04-28 14:40:35.885595
581,2016,화계중학교,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,B100002288,1130510300,134.0,60.0,39.0,0.0,1.0,0.0,0.0,5.0,27.0,1.0,0.0,1.0,남,2018-04-28 14:40:37.027800,,2018-04-28 14:40:37.027804
582,2016,화계중학교,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,B100002288,1130510300,117.0,69.0,33.0,0.0,5.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,여,2018-04-28 14:40:37.030816,,2018-04-28 14:40:37.030825
583,2016,화계중학교,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,B100002288,1130510300,251.0,129.0,72.0,0.0,6.0,1.0,0.0,6.0,34.0,2.0,0.0,1.0,총합,2018-04-28 14:40:37.032911,,2018-04-28 14:40:37.032915
584,2016,화계중학교,서울특별시 강북구 수유동 # 491-28번지(화계사길 63),서울특별시 강북구 화계사길 63,B100002288,1130510300,0.0,51.4,28.7,0.0,2.4,0.4,0.0,0.0,13.5,0.8,0.0,0.4,통계,2018-04-28 14:40:37.034817,,2018-04-28 14:40:37.034829
